TransactionID,UserID,TransactionAmount,TransactionLocation,TransactionTime,PaymentMethod,TransactionStatus,FraudLabel
1001, 1, 200.50, New York, 2023-09-01 12:30:00, Credit Card, Completed,0
1002, 1, 5000.00, Los Angeles,2023-09-02 13:15:00,Debit Card, Completed,1
1003, 2, 150.00, San Francisco, 2023-09-03 15:45:00, PayPal, Pending,0
1004, 3, 750.00, Chicago, 2023-09-04 18:00:00, Credit Card, Completed,1
1005, 2, 80.00, Miami, 2023-09-05 09:20:00, Debit Card, Completed,0
1006, 4, 350.00, Houston, 2023-09-05 11:30:00, Credit Card, Completed,0
1007, 4, 12000.00, Dallas, 2023-09-06 12:00:00, Credit Card, Completed,1
1008, 5, 100.00, Boston, 2023-09-06 14:45:00, Debit Card, Completed,0
1009, 6, 250.00, New York, 2023-09-07 15:30:00, PayPal, Pending,0
1010, 7, 650.00, Chicago, 2023-09-08 16:00:00, Credit Card, Completed,1
1011, 6, 5400.00,San Diego, 2023-09-09 17:00:00, Debit Card, Completed,1
1012, 5, 175.00, Seattle, 2023-09-10 18:30:00, Credit Card, Completed,0
